"Natural" Interfaces	Body Schnittstellen (unmittelbare Schnittstellen)
01 atmospheres view	01 contextual view
01 atmospheres view	02 Immersion
01 atmospheres view	02 view of eros
01 atmospheres view	GD01
01 contextual view	01 situation view (Linz)
01 contextual view	01 view of the framework
01 contextual view	GD01
01 culture-theoretical view	01 contextual view
01 culture-theoretical view	cultural studies
01 culture-theoretical view	GD01
01 culture-theoretical view	technoculture
01 situation view (Linz)	GD01
01 view of the framework	GD01
02 chaos view	02 view of openness
02 chaos view	cybotage
02 chaos view	GD02
02 circumstances view	GD02
02 conceptual view	01 contextual view
02 conceptual view	02 circumstances view
02 conceptual view	02 operating system (art field)
02 conceptual view	Concept
02 conceptual view	GD02
02 Immersion	GD02
02 operating system (art field)	art world
02 operating system (art field)	GD02
02 view of absense	02 view of virtuality
02 view of absense	GD02
02 view of eros	02 view of openness
02 view of eros	GD02
02 view of hybridity	13 view of hybridity
02 view of hybridity	GD02
02 view of limitlessness	01 atmospheres view
02 view of limitlessness	GD02
02 view of openness	31 view of metamorphosis
02 view of openness	commons
02 view of openness	GD02
02 view of openness	open access
02 view of virtuality	GD02
03 interdisciplinarity view	03 synaesthetic view
03 interdisciplinarity view	GD03
03 interdisciplinarity view	Interdisziplinaritaet (1997,2001,03)
03 machine view - robots	07 body extensions
03 machine view - robots	GD03
03 service view / project view	02 conceptual view
03 service view / project view	aufzeigende Projekte
03 service view / project view	enhanced service
03 service view / project view	GD03
03 service view / project view	partizipative Projekte
03 service view / project view	unterstuetzende Projekte
03 synaesthetic view	GD03
03 view of multifunctionality	GD03
03 view of multifunctionality	graphic user interface
03 view of multifunctionality	Multifunktionalitaet (n)
03 view of PC/computer/video technology	03 view of multifunctionality
03 view of PC/computer/video technology	GD03
04 influential thinkers	04 view of criticism / valuation
04 influential thinkers	16 discourse view
04 influential thinkers	GD04
04 methods view	GD04
04 view of criticism / valuation	art criticism
04 view of criticism / valuation	aufzeigende Projekte
04 view of criticism / valuation	GD04
04 view of ideas	04 view of intention
04 view of ideas	17 view of cognition
04 view of ideas	18 view of projection
04 view of ideas	21 view of the future
04 view of ideas	GD04
04 view of innovation	04 view of ideas
04 view of innovation	freestyle computing (1998-2003)
04 view of innovation	GD04
04 view of innovation	Medienevolution (n)
04 view of intention	GD04
05 functional view	05 tool view / instruments
05 functional view	GD05
05 interface view	GD05
05 procedure view	GD05
05 tool view / instruments	authoring tool
05 tool view / instruments	CAD
05 tool view / instruments	GD05
05 view of artistic production	05 view of the working world
05 view of artistic production	GD05
05 view of the working world	computerisierte Arbeitswelt (1998)
05 view of the working world	GD05
05 view of the working world	telework
06 education view	06 view of educators (in teaching)
06 education view	GD06
06 education view	Media Literacy (2001)
06 education view	Medienhochschule (2001-2004)
06 education view	Medienwerkstatt (1987,94)
06 gestural view	06 view of designing gestures
06 gestural view	GD06
06 habitual view	06 gestural view
06 habitual view	GD06
06 view of designing gestures	artistic re-packaging
06 view of designing gestures	computational design
06 view of designing gestures	Eisenman Transformationen
06 view of designing gestures	Formfindung
06 view of designing gestures	GD06
06 view of designing gestures	konzeptuelle Gesten
06 view of designing gestures	Mediendesign (2001)
06 view of designing gestures	morphen
06 view of educators (in teaching)	06 view of designing gestures
06 view of educators (in teaching)	GD06
06 view of instruction	06 view of educators (in teaching)
06 view of instruction	GD06
06 view of instruction	location-based-learning
07 body extensions	05 interface view
07 body extensions	GD07
07 media-critical view	07 subversion view
07 media-critical view	27 film, video, TV
07 media-critical view	Counter Culture
07 media-critical view	GD07
07 media-critical view	medienkritisch (1995)
07 subversion view	GD07
07 transport view	07 view of transportation networks
07 transport view	Energieuebermittlung (1980)
07 transport view	GD07
07 transport view	mediale Vermittlung (2003)
07 view of communication	07 view of telecommunications
07 view of communication	GD07
07 view of communication	Net-Meeting (2002)
07 view of electronic media	GD07
07 view of media	07 view of electronic media
07 view of media	GD07
07 view of telecommunications	07 view of transportation networks
07 view of telecommunications	GD07
07 view of transportation networks	GD07
07 view of traveling	07 transport view
07 view of traveling	GD07
07 view of traveling	Travel
08 body view	08 view of medicine
08 body view	08 view of sexuality
08 body view	GD08
08 gustative view	08 body view
08 gustative view	GD08
08 view of cleanliness	08 view of medicine
08 view of cleanliness	GD08
08 view of medicine	AR-surgery
08 view of medicine	GD08
08 view of portability	07 transport view
08 view of portability	GD08
08 view of portability	Kompaktheit
08 view of portability	Portabilitaet
08 view of sexuality	GD08
09 emotional view	10 psychological view
09 emotional view	GD09
09 everyday view	GD09
09 everyday view	Medienalltag (n)
09 supply view	09 view of commodity world
09 supply view	21 economic view
09 supply view	GD09
09 view of agriculture	GD09
09 view of clothing	09 everyday view
09 view of clothing	clothing
09 view of clothing	GD09
09 view of commodity world	09 view of agriculture
09 view of commodity world	GD09
10 Internet view	10 view of networks
10 Internet view	GD10
10 observer view	10 recipient view
10 observer view	GD10
10 psychoanalytical view	10 psychological view
10 psychoanalytical view	elektronischer Beichtstuhl (n)
10 psychoanalytical view	GD10
10 psychoanalytical view	psychoanalysis
10 psychological view	GD10
10 psychological view	Telenoia
10 psychophysical view	08 body view
10 psychophysical view	GD10
10 recipient view	GD10
10 view of networks	GD10
10 view of the mood	10 psychological view
10 view of the mood	GD10
10 view of the mood	Mood-Management (2001)
11 feminist view	13 identity view
11 feminist view	GD11
11 intercultural view	GD11
11 intercultural view	Interkulturell (1986,92,95,96,97,2002)
11 intercultural view	multikulturell (1993,95)
11 intercultural view	polyethnische Medien (2002)
11 legal view	11 political view
11 legal view	GD11
11 light view	12 light view
11 light view	GD11
11 light view	rendering
11 political view	11 feminist view
11 political view	GD11
11 political view	political science
11 view of worldviews	11 intercultural view
11 view of worldviews	GD11
12 aesthetic view	03 synaesthetic view
12 aesthetic view	12 ethical view
12 aesthetic view	GD12
12 aesthetic view	Kritik der digitalen Form
12 aesthetic view	machine aesthetics
12 color view	12 aesthetic view
12 color view	elektronisches Farbenspiel  (1979)
12 color view	Farbgesten
12 color view	GD12
12 color view	multikoloriert (1990)
12 ethical view	11 intercultural view
12 ethical view	computer ethics (n)
12 ethical view	GD12
12 ethical view	KybernEthik
12 light view	12 aesthetic view
12 light view	GD12
12 light view	Lichtgesten
12 memorial view	12 ethical view
12 memorial view	12 view of concern
12 memorial view	elektronische Erinnerungen (1994)
12 memorial view	GD12
12 view of concern	GD12
12 visual view	12 aesthetic view
12 visual view	12 light view
12 visual view	GD12
13 achievement view	13 energetic view
13 achievement view	GD13
13 achievement view	Leistungssicht
13 energetic view	12 light view
13 energetic view	13 intensity view
13 energetic view	22 athletic aspects
13 energetic view	GD13
13 energetic view	informierte Energie (1994)
13 energetic view	media-spasm (2001)
13 identity view	13 view of hybridity
13 identity view	GD13
13 intensity view	GD13
13 view of destruction	13 energetic view
13 view of destruction	GD13
13 view of dramatization	13 energetic view
13 view of dramatization	32 carnival view
13 view of dramatization	GD13
13 view of hybridity	GD13
14 actor view	14 artist view
14 actor view	GD14
14 artist view	Computerkuenstler (1979=Franke,1984,86,87,88,89,91,92,93,96,97,98,2001,03)
14 artist view	GD14
14 authors view	14 artist view
14 authors view	GD14
14 existential view	12 ethical view
14 existential view	GD14
14 existential view	reality
14 researcher view	14 authors view
14 researcher view	GD14
14 view of sensor technology	16 artifical life view
14 view of sensor technology	GD14
14 view of sensor technology	intelligentes Ambiente
14 view of the apparational	14 existential view
14 view of the apparational	erscheinen
14 view of the apparational	GD14
14 view of the apparational	Sicht des Erscheinens
14 view of the personality	13 identity view
14 view of the personality	GD14
15 cartographical view	15 view of graphical design
15 cartographical view	GD15
15 content view	15 view of meaning
15 content view	GD15
15 diagrammatic view	15 cartographical view
15 diagrammatic view	Eisenman Transformationen
15 diagrammatic view	GD15
15 diagrammatic view	Informationsdesign
15 typographical view	15 view of graphical design
15 typographical view	Baudot-Art (5 Bit Baudot Code)
15 typographical view	GD15
15 typographical view	Informationsdesign
15 typographical view	webdesign
15 view of graphical design	GD15
15 view of graphical design	Informationsdesign
15 view of graphical design	webdesign
15 view of literature	15 view of meaning
15 view of literature	computer generated literature
15 view of literature	GD15
15 view of meaning	GD15
15 view of text design	15 typographical view
15 view of text design	artist_s book
15 view of text design	GD15
16 AI view	16 analytical view
16 AI view	GD16
16 AI view	XPS Expertensystem
16 analytical view	comparative literature
16 analytical view	GD16
16 discourse view	16 analytical view
16 discourse view	16 view of knowledge management
16 discourse view	GD16
16 epistemological view	16 analytical view
16 epistemological view	GD16
16 impact/effect view	11 political view
16 impact/effect view	GD16
16 impact/effect view	impact management (2000)
16 perception view	17 view of cognition
16 perception view	aisthetische Bedeutung  (1999)
16 perception view	aisthetische Medien (n)
16 perception view	GD16
16 perception view	Perception
16 perception view	Simulator sickness
16 view of knowledge management	16 analytical view
16 view of knowledge management	GD16
17 artifical life view	17 view of genetic
17 artifical life view	GD17
17 media philosophy view	17 view of cognition
17 media philosophy view	GD17
17 view of animals	17 view of nature
17 view of animals	GD17
17 view of animals	Medienterrarium (1984)
17 view of cognition	GD17
17 view of genetic	GD17
17 view of nature	09 view of agriculture
17 view of nature	GD17
17 view of plants	17 view of nature
17 view of plants	GD17
17 view of the art studies	17 media philosophy view
17 view of the art studies	GD17
18 object view	18 view of the art work
18 object view	20 view of the collection
18 object view	GD18
18 object view	Object
18 product view	05 view of the working world
18 product view	18 view of the art work
18 product view	GD18
18 similarity and touch	GD18
18 tactile haptic view	18 similarity and touch
18 tactile haptic view	GD18
18 tactile haptic view	Taktiles Feedback (2001)
18 view of framing	18 view of projection
18 view of framing	GD18
18 view of projection	GD18
18 view of projection	Kuppelprojektion (1979,1984)
18 view of projection	projection
18 view of the art work  	GD18
18 view of the installation	18 view of the art work
18 view of the installation	GD18
18 view of the picture	18 view of projection
18 view of the picture	GD18
19 archeological view	19 material view
19 archeological view	GD19
19 material view	GD19
19 material view	Materialitaet
19 olfactory "view" (smell)	19 material view
19 olfactory "view" (smell)	GD19
19 olfactory "view" (smell)	kuenstliche/elektronische Nasen (n)
19 presentation view	19 view of exhibition
19 presentation view	GD19
19 view of exhibition	GD19
19 view of gravity	19 material view
19 view of gravity	GD19
19 view of representation	16 view of knowledge management
19 view of representation	19 view of exhibition
19 view of representation	elektronisches Abbild  (1996)
19 view of representation	GD19
20 archive view	20 view of storage media
20 archive view	archive science
20 archive view	elektronische Bibliothek (1989)
20 archive view	GD20
20 art historical view	20 historical view
20 art historical view	GD20
20 art historical view	timeline (1997,99,2000,01,03)
20 historical view	20 view of the collection
20 historical view	GD20
20 history of technology view	20 historical view
20 history of technology view	GD20
20 museum view	20 view of the collection
